fecha,of,producto_codigo,componente_codigo,lote,cantidad,unidad,almacen,movimiento,emisor,receptor,observaciones,timestamp_registro
2025-09-01,250918,501.065.088,453.909.054,L250901-02,175.261,kg,MP-01,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-09-01T06:02:37
2025-09-01,250920,512.083.127,454.785.564,L250901-02,467.073,kg,MP-01,Emision,Operario B,Tanque 3,PLANTA CRE | Proceso OK,2025-09-01T06:19:14
2025-09-01,250925,505.009.123,453.626.677,L250901-03,318.044,kg,MP-03,Emision,Operario C,Línea 1,PLANTA MAK | Proceso OK,2025-09-01T10:19:32
2025-09-01,250931,512.179.127,454.364.232,L250901-03,678.101,kg,AD-01,Emision,Operario C,Tanque 5,PLANTA MAK | Proceso OK,2025-09-01T11:51:18
2025-09-01,250926,501.030.054,453.945.689,L250901-02,244.867,kg,MP-02,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-09-01T15:07:55
2025-09-01,250914,501.098.148,455.549.010,L250901-02,888.601,kg,MP-01,Emision,Operario C,Tanque 3,PLANTA MAK | Proceso OK,2025-09-01T15:55:16
2025-09-01,250934,513.115.000,451.956.039,L250901-02,330.813,kg,AD-01,Emision,Supervisor,Tanque 5,PLANTA MAK | Proceso OK,2025-09-01T17:49:51
2025-09-02,250934,513.115.000,454.273.156,L250910-01,35.802,kg,MP-02,Devolucion,Supervisor,Tanque 5,PLANTA MAK | Devolución parcial,2025-09-02T07:50:34
2025-09-02,250928,501.148.043,453.284.546,L250902-01,480.526,kg,MP-01,Emision,Supervisor,Tanque 5,PLANTA CRE | Proceso OK,2025-09-02T08:45:38
2025-09-02,250931,512.179.127,455.840.461,L250902-03,504.740,kg,MP-03,Emision,Operario A,Tanque 5,PLANTA MAK | Proceso OK,2025-09-02T17:05:09
2025-09-03,250910,505.124.057,453.240.044,L250903-02,314.440,kg,MP-02,Emision,Operario B,Línea 2,PLANTA CRE | Proceso OK,2025-09-03T08:23:38
2025-09-03,250922,512.101.019,454.912.835,L250903-02,862.459,kg,MP-02,Emision,Supervisor,Tanque 3,PLANTA CRE | Proceso OK,2025-09-03T08:54:24
2025-09-03,250912,501.174.148,455.101.436,L250903-02,393.455,L,AD-01,Emision,Operario A,Línea 1,PLANTA CRE | Proceso OK,2025-09-03T10:14:23
2025-09-03,250917,512.077.000,451.562.383,L250903-02,511.346,kg,MP-01,Emision,Supervisor,Tanque 5,PLANTA MAK | Proceso OK,2025-09-03T10:44:39
