fecha,of,producto_codigo,componente_codigo,lote,cantidad,unidad,almacen,movimiento,emisor,receptor,observaciones,timestamp_registro
2025-08-01,250826,505.042.074,453.975.108,L250801-03,325.546,kg,MP-02,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-01T06:06:21
2025-08-01,250819,505.106.001,452.256.150,L250801-03,1423.791,L,MP-01,Emision,Supervisor,Tanque 3,PLANTA MAK | Proceso OK,2025-08-01T07:50:34
2025-08-01,250815,513.064.005,454.729.803,L250801-02,220.003,L,MP-03,Emision,Operario C,Línea 1,PLANTA CRE | Proceso OK,2025-08-01T08:05:11
2025-08-01,250821,512.109.069,452.998.828,L250801-02,240.343,kg,MP-03,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-01T08:59:54
2025-08-01,250823,505.075.038,453.240.077,L250815-03,44.885,kg,MP-02,Devolucion,Operario B,Línea 2,PLANTA MAK | Devolución parcial,2025-08-01T12:23:43
2025-08-01,250813,505.100.032,451.945.461,L250801-01,247.439,kg,MP-01,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-01T17:38:45
2025-08-01,250823,505.075.038,451.169.461,L250801-02,567.077,L,MP-01,Emision,Supervisor,Tanque 3,PLANTA MAK | Proceso OK,2025-08-01T18:37:14
2025-08-01,250833,501.130.032,454.837.241,L250801-02,1030.375,kg,MP-01,Emision,Operario A,Línea 1,PLANTA CRE | Proceso OK,2025-08-01T18:38:39
2025-08-02,250816,505.161.088,454.341.862,L250802-03,676.518,kg,AD-01,Emision,Operario C,Tanque 5,PLANTA CRE | Proceso OK,2025-08-02T07:00:06
2025-08-02,250811,501.135.074,451.064.849,L250802-03,756.119,kg,MP-03,Emision,Operario A,Tanque 5,PLANTA CRE | Proceso OK,2025-08-02T10:52:00
2025-08-02,250822,513.070.005,455.690.924,L250802-01,88.000,ud,AD-01,Emision,Operario C,Tanque 3,PLANTA CRE | Proceso OK,2025-08-02T11:05:35
2025-08-02,250813,505.100.032,451.945.461,L250802-01,834.557,L,MP-02,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-02T11:19:58
2025-08-02,250811,501.135.074,451.064.849,L250802-01,264.312,L,AD-01,Emision,Operario A,Tanque 3,PLANTA CRE | Proceso OK,2025-08-02T12:11:49
2025-08-02,250818,512.048.088,455.171.502,L250802-01,759.665,L,AD-01,Emision,Operario B,Línea 2,PLANTA CRE | Proceso OK,2025-08-02T12:35:32
2025-08-02,250831,513.126.057,454.020.234,L250802-01,326.115,kg,MP-01,Emision,Operario A,Línea 1,PLANTA MAK | Proceso OK,2025-08-02T17:07:26
2025-08-03,250836,513.156.005,455.303.984,L250803-01,337.118,kg,MP-01,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-03T06:35:16
2025-08-03,250835,501.161.127,453.539.226,L250829-02,5.022,ud,MP-03,Devolucion,Operario A,Línea 2,PLANTA MAK | Devolución parcial,2025-08-03T10:26:24
2025-08-03,250821,512.109.069,453.086.318,L250818-03,74.237,kg,MP-01,Devolucion,Supervisor,Línea 1,PLANTA CRE | Devolución parcial,2025-08-03T10:42:47
2025-08-03,250830,512.037.054,451.005.463,L250803-02,802.362,L,MP-03,Emision,Supervisor,Tanque 3,PLANTA MAK | Proceso OK,2025-08-03T12:56:43
2025-08-03,250822,513.070.005,451.184.229,L250803-01,364.998,kg,AD-01,Emision,Operario C,Tanque 5,PLANTA CRE | Proceso OK,2025-08-03T17:05:37
2025-08-03,250815,513.064.005,453.370.110,L250803-02,287.473,kg,AD-01,Emision,Operario C,Tanque 5,PLANTA CRE | Proceso OK,2025-08-03T18:04:23
2025-08-04,250833,501.130.032,451.471.455,L250804-01,488.086,kg,AD-01,Emision,Operario B,Tanque 5,PLANTA CRE | Proceso OK,2025-08-04T07:16:39
2025-08-04,250822,513.070.005,451.184.229,L250804-01,544.316,kg,AD-01,Emision,Supervisor,Línea 1,PLANTA CRE | Proceso OK,2025-08-04T08:45:17
2025-08-04,250833,501.130.032,451.510.764,L250804-01,466.669,kg,MP-01,Emision,Operario A,Línea 2,PLANTA CRE | Proceso OK,2025-08-04T10:48:50
2025-08-04,250811,501.135.074,452.587.550,L250804-02,507.301,kg,MP-01,Emision,Operario B,Línea 1,PLANTA CRE | Proceso OK,2025-08-04T12:28:14
2025-08-04,250817,505.115.057,453.026.495,L250804-02,353.933,kg,MP-01,Emision,Operario B,Línea 2,PLANTA CRE | Proceso OK,2025-08-04T14:11:35
2025-08-04,250820,505.014.069,454.672.094,L250804-02,615.177,kg,MP-02,Emision,Supervisor,Línea 2,PLANTA CRE | Proceso OK,2025-08-04T16:43:09
2025-08-04,250816,505.161.088,453.007.972,L250804-01,549.072,L,MP-02,Emision,Operario A,Tanque 5,PLANTA CRE | Proceso OK,2025-08-04T17:13:28
2025-08-04,250820,505.014.069,451.002.219,L250804-02,309.988,kg,MP-03,Emision,Supervisor,Tanque 3,PLANTA CRE | Proceso OK,2025-08-04T18:08:15
2025-08-05,250836,513.156.005,454.405.842,L250805-03,762.163,kg,MP-03,Emision,Operario A,Línea 2,PLANTA CRE | Proceso OK,2025-08-05T07:02:00
2025-08-05,250820,505.014.069,451.002.219,L250805-03,725.831,L,AD-01,Emision,Operario B,Línea 1,PLANTA CRE | Proceso OK,2025-08-05T07:08:48
2025-08-05,250817,505.115.057,453.026.495,L250805-02,179.008,kg,AD-01,Emision,Operario B,Tanque 5,PLANTA CRE | Proceso OK,2025-08-05T11:30:06
2025-08-05,250827,512.052.009,454.483.501,L250805-02,445.369,L,MP-03,Emision,Operario A,Línea 1,PLANTA CRE | Proceso OK,2025-08-05T12:35:25
2025-08-05,250822,513.070.005,451.184.229,L250803-01,76.396,kg,AD-01,Devolucion,Operario A,Línea 1,PLANTA CRE | Devolución parcial,2025-08-05T12:42:08
2025-08-05,250827,512.052.009,454.483.501,L250805-03,853.537,kg,MP-01,Emision,Operario A,Línea 1,PLANTA CRE | Proceso OK,2025-08-05T18:18:55
